nome,endereco,latitude,longitude,cidade
Monte Carmo Shopping,"Av. Juiz Marco Túlio Isaac, 1119 - Ingá Alto, Betim",-19.9581776,-44.1908213,Contagem
Shopping cidade,"Rua dos Goitacazes, 326 - Centro, Belo Horizonte",-19.9225893,-43.94001859999999,Contagem
5th Avenue Shopping Mall,"R. Alagoas, 1314 - Savassi, Belo Horizonte",-19.9384117,-43.9371948,Contagem
Amazonas Shopping Center,"Av. Djalma Batista, 482 - Parque 10 de Novembro, Manaus",-3.0941363,-60.02269459999999,Manaus
Millennium Shopping,"Av. Djalma Batista, 1661 - Chapada, Manaus",-3.1009803,-60.0244901,Manaus
Ponta Negra Shopping,"Av. Coronel Teixeira, 5705 - Ponta Negra, Manaus",-3.0846448,-60.07241639999999,Manaus
Shopping Grande Circular,"Av. Autaz Mirim, 6100 - São José Operário, Manaus",-3.063254,-59.95034130000001,Manaus
Sumaúma Park Shopping,"Av. Noel Nutels, 1762 - Cidade Nova, Manaus",-3.0302756,-59.97812299999999,Manaus
Manaus Plaza Shopping & Centro de Convenções,"Av. Djalma Batista, 2100 - Chapada, Manaus",-3.0974689,-60.02329029999999,Manaus
Shopping Manaus ViaNorte,"Avenida Arquiteto José Henrique Bento Rodrigues, 3760 - Monte das Oliveiras, Manaus",-3.0000536,-60.0019828,Manaus
Manauara Shopping,"Av. Mário Ypiranga, 1300 - Adrianópolis, Manaus",-3.1043615,-60.01194890000001,Manaus
Park Mall Ephigênio,"Av. Efigênio Salles, 2045 - Aleixo, Manaus",-3.0901199,-59.9921529,Manaus
Sollarium Mall,"R. Barão de Indaiá, 54 - Flores, Manaus",-3.067497,-60.0153111,Manaus
MARGARITA Mall,"Av. Margarita, 1984 - Cj - Cidade Nova, Manaus",-3.0057472,-59.9754307,Manaus
Shopping Parque 10 Mall,"Av. Tancredo Neves, 645 - Parque 10 de Novembro, Manaus",-3.0721188,-60.0073044,Manaus
Shopping Cidade Leste,"Av. Autaz Mirim, 282 - Tancredo Neves, Manaus",-3.0479786,-59.9442581,Manaus
Arena Mall,"2673, Av. Pedro Teixeira, 2421 - Dom Pedro, Manaus",-3.0853389,-60.02600100000001,Manaus
Dubai Shopping Center,"Av. Eduardo Ribeiro, 457 - Centro, Manaus",-3.1333079,-60.0242999,Manaus
Salvador Mall Manaus,"R. Salvador, 449 - Adrianópolis, Manaus",-3.1079041,-60.01055789999999,Manaus
Shopping Mueller,"Av. Cândido de Abreu, 127 - Centro Cívico, Curitiba",-25.423456,-49.2702259,Curitiba
Palladium Shopping Center,"Av. Pres. Kennedy, 4121 - Portão, Curitiba",-25.477753,-49.2909558,Curitiba
Shopping Jardim das Américas,"Av. Nossa Sra. de Lourdes, 63 - Jardim das Américas, Curitiba",-25.4514052,-49.228494,Curitiba
Shopping Curitiba,"R. Brg. Franco, 2300 - Centro, Curitiba",-25.4409894,-49.2773706,Curitiba
Cidade Shopping,"Av. Mal. Floriano Peixoto, 4984 - Hauer, Curitiba",-25.4725027,-49.2523856,Curitiba
Jockey Plaza Shopping,"R. Konrad Adenauer, 370 - Tarumã, Curitiba",-25.4277333,-49.2150244,Curitiba
Shopping Estação,"Av. Sete de Setembro, 2775 - Rebouças, Curitiba",-25.4381598,-49.2673983,Curitiba
ParkShopping Barigui,"R. Prof. Pedro Viriato Parigot de Souza, 600 - Mossunguê, Curitiba",-25.4356396,-49.3177411,Curitiba
Express Mall JK,"Av. Juscelino Kubitschek De Oliveira - Ld, 2211 - Cidade Industrial de Curitiba, Curitiba",-25.451875,-49.3614205,Curitiba
